AREACD,AREANM,Natural change,Population change,Net within UK migration,Net international migration
E06000050,Cheshire West and Chester,1.365573761,2.383621758,1.96521912,-0.934159413
E06000051,Shropshire,-0.797851692,4.197191927,4.830724892,0.161048722
E06000052,Cornwall,0.295933879,8.363603438,7.788667509,0.307016318
E06000053,Isles of Scilly,-0.946559,-8.365361353,0.223150916,-7.752534344
E06000054,Wiltshire,2.223993357,5.83883548,3.557354974,0.055775454
E06000055,Bedford,5.1647776,10.79570699,3.086135734,2.556095965
E06000056,Central Bedfordshire,5.385967042,12.70621106,3.899528099,3.377857538
E06000057,Northumberland,-1.100831032,1.621570491,3.046839718,-0.32608449
E07000004,Aylesbury Vale,4.885093854,11.15375103,3.409020409,2.832170837
E07000005,Chiltern,1.18907768,3.157704247,3.132992406,-1.177767681
E07000006,South Bucks,1.434396639,9.576211042,9.617243636,-1.522721692
E07000007,Wycombe,5.632307945,5.937642858,0.45562725,-0.1432132
E07000008,Cambridge,5.00085652,1.492243165,-7.252952649,4.001415793
E07000009,East Cambridgeshire,5.004349195,15.48011826,7.010514717,3.416906098
E07000010,Fenland,0.926271,7.241268351,0.698387338,5.602569194
E07000011,Huntingdonshire,4.11553974,7.493343585,2.763322465,0.580158451
E07000012,South Cambridgeshire,4.838652635,12.78819395,6.660482752,1.256039071
E07000026,Allerdale,-1.636452399,-0.015204951,1.427703982,0.189794164
E07000027,Barrow-in-Furness,0.408562167,-1.834322912,-2.074795142,-0.177228634
E07000028,Carlisle,0.943101195,0.606548358,-0.506182819,0.181635258
E07000029,Copeland,-0.173807298,-1.52934047,-1.605628616,0.224100799
E07000030,Eden,-2.773175565,0.767934884,3.406409882,0.150371526
E07000031,South Lakeland,-3.516160699,0.24177068,3.336518303,0.40824633
E07000032,Amber Valley,0.518484723,4.966328015,4.545322613,-0.115518966
E07000033,Bolsover,1.107659701,4.209337124,2.270151795,0.819159243
E07000034,Chesterfield,1.220515465,2.619395728,1.016738676,0.362575206
E07000035,Derbyshire Dales,-2.684677973,3.811442872,6.548579214,-0.062235287
E07000036,Erewash,2.60831637,5.602931348,3.134338372,-0.165498134
E07000037,High Peak,1.724911876,4.128087236,2.245569969,0.161965488
E07000038,North East Derbyshire,-0.897090321,3.613969427,4.171184561,0.332415326
E07000039,South Derbyshire,3.476266665,10.8647022,7.509312287,-0.14634173
E07000040,East Devon,-4.720083197,5.609574425,10.1761647,0.171911825
E07000041,Exeter,4.399372972,4.415337264,-5.283393876,5.520865569
E07000042,Mid Devon,1.458066496,6.72835618,5.714306609,-0.443083206
E07000043,North Devon,-0.242969673,4.376074979,4.63851359,-0.02015905
E07000044,South Hams,-2.306874122,2.999120245,6.099039791,-0.777075717
E07000045,Teignbridge,-1.995112421,5.569866651,7.763062868,-0.20127574
E07000046,Torridge,-1.200912192,8.920689423,9.827581275,0.296911339
E07000047,West Devon,-1.981063421,9.867983055,11.68338117,0.146252347
E07000048,Christchurch,-4.53563151,8.285192057,13.59837806,-0.766147831
E07000049,East Dorset,-4.066350172,4.809695993,8.920748297,-0.032539717
E07000050,North Dorset,-0.159634699,3.010970916,6.467811815,-3.289216353
E07000051,Purbeck,-1.876173867,3.429881437,6.222738739,-0.899826768
E07000052,West Dorset,-4.293006823,4.022086363,9.288017881,-0.970255953
E07000053,Weymouth and Portland,-0.808511732,0.653405006,3.515181328,-2.043422449
E07000061,Eastbourne,-0.595839702,6.427130543,7.79992536,-0.73954832
E07000062,Hastings,3.011075719,6.123690995,3.701697908,-0.594907875
E07000063,Lewes,-0.551062022,9.948650449,9.969427051,0.537252232
E07000064,Rother,-5.553444202,6.799326019,12.89130593,-0.518948892
E07000065,Wealden,-1.941013493,6.024375535,7.360312087,0.608055137
E07000066,Basildon,5.211408464,6.571942127,1.256581088,0.086698958
E07000067,Braintree,2.750141933,8.451755262,5.520655552,0.163753512
E07000068,Brentwood,1.326785977,7.838058624,7.054782487,-0.589115697
E07000069,Castle Point,-1.497221556,4.316272501,5.950932538,-0.117255941
E07000070,Chelmsford,3.751321089,6.795907167,2.486183891,0.528228848
E07000071,Colchester,5.252279162,10.54620113,3.002816255,2.349380649
E07000072,Epping Forest,3.636317963,9.795753144,6.026506874,0.103070586
E07000073,Harlow,7.541337009,8.490359424,-1.022944314,1.941797469
E07000074,Maldon,-1.249912107,5.019169783,5.853775911,0.420863497
E07000075,Rochford,0.505337218,4.867636286,4.618119775,-0.237709326
E07000076,Tendring,-4.099455831,6.586523859,10.90121672,-0.188011143
E07000077,Uttlesford,2.7951065,14.68760041,11.17464451,0.701688623
E07000078,Cheltenham,3.82443001,7.04572602,1.339952741,1.898852131
E07000079,Cotswold,-1.913001502,3.821293979,5.694466299,0.078006335
E07000080,Forest of Dean,-0.846227101,3.679860704,3.626663422,0.961941824
E07000081,Gloucester,6.695518516,9.487442527,1.220291115,1.57239421
E07000082,Stroud,0.218273914,6.154403014,6.140138721,-0.20914563
E07000083,Tewkesbury,1.711987057,9.911124713,7.002236298,1.164078257
E07000084,Basingstoke and Deane,6.084416026,11.45244964,4.826370438,0.488138803
E07000085,East Hampshire,0.128377084,5.865438871,5.889565709,-0.137890669
E07000086,Eastleigh,4.278915503,9.348268129,4.84552169,0.192529381
E07000087,Fareham,0.251604218,6.767665553,6.159117311,0.369559862
E07000088,Gosport,3.026977615,4.074073021,1.004468136,0.042070265
E07000089,Hart,3.705718233,5.070497594,0.778676255,0.547828773
E07000090,Havant,0.618680651,3.929853281,3.382688032,-0.050233015
E07000091,New Forest,-2.298406076,6.22178067,7.4061144,1.115684242
E07000092,Rushmoor,7.202652575,4.186510681,-3.281286699,0.227834264
E07000093,Test Valley,1.493613678,3.95485125,3.126035456,-0.6707959
E07000094,Winchester,1.637344409,7.627462223,7.128198934,-1.027708713
E07000095,Broxbourne,6.04572737,7.985120952,2.499791299,-0.577346349
E07000096,Dacorum,5.700794371,9.960915297,3.764567278,0.439727935
E07000098,Hertsmere,4.628018905,10.78267174,6.664781538,-0.551373971
E07000099,North Hertfordshire,3.192439959,10.66080314,8.104485427,-0.699976496
E07000102,Three Rivers,3.860657704,11.23530929,7.814536862,-0.489507353
E07000103,Watford,9.063313462,13.18720291,4.072985916,-0.041951802
E07000105,Ashford,4.823554188,10.90832557,4.913132886,1.172109782
E07000106,Canterbury,-0.308635047,3.872669665,-0.220625913,4.69633581
E07000107,Dartford,6.732456577,12.85059684,4.5550138,1.506369984
E07000108,Dover,-0.204658095,3.437146309,3.175579265,0.466833701
E07000109,Gravesham,5.310688705,8.044898694,-0.562363661,3.281729297
E07000110,Maidstone,3.585826563,11.37436766,5.175752142,2.588019324
E07000111,Sevenoaks,2.972704988,8.168687042,4.844687965,0.316844643
E07000112,Shepway,0.324626026,5.860403321,4.1175965,1.417973783
E07000113,Swale,4.103513226,12.03448128,5.931292643,2.000049594
E07000114,Thanet,0.874158891,8.754650649,6.57924668,1.32951931
E07000115,Tonbridge and Malling,3.665964098,10.14266722,6.05059019,0.420609822
E07000116,Tunbridge Wells,3.527233167,8.365517003,4.43433899,0.347613055
E07000117,Burnley,3.492152572,-0.046493208,-3.201504103,-0.346959245
E07000118,Chorley,2.107265567,7.807810039,5.201002879,0.4586401
E07000119,Fylde,-3.777768809,3.960180913,8.002650108,-0.298772465
E07000120,Hyndburn,3.855179813,-0.319588693,-4.742333351,0.562933427
E07000121,Lancaster,0.904809132,1.936698476,-6.028458538,7.283635895
E07000122,Pendle,5.69581043,2.985130762,-4.623625138,1.887774236
E07000123,Preston,5.171894825,0.968190511,-8.526875827,4.433150073
E07000124,Ribble Valley,-1.804082817,2.826551544,4.38174962,0.238596738
E07000125,Rossendale,2.888295875,5.473599154,2.458273258,0.099486423
E07000126,South Ribble,2.180699756,4.138098061,1.322218091,0.606580837
E07000127,West Lancashire,0.197482756,0.527094992,-1.51165528,1.917520269
E07000128,Wyre,-3.513791816,3.117569369,5.511207937,1.12746664
E07000129,Blaby,2.942778328,5.387848996,1.837575159,0.589842933
E07000130,Charnwood,3.260531812,9.628284274,0.866663451,5.749832766
E07000131,Harborough,0.710669184,7.536199819,6.234045745,0.577325991
E07000132,Hinckley and Bosworth,1.884969526,6.434209635,3.987627333,0.536385517
E07000133,Melton,1.661899743,6.022352578,4.244023778,0.106526381
E07000134,North West Leicestershire,1.755000417,4.780843519,2.066398982,0.939778587
E07000135,Oadby and Wigston,-0.410460664,0.235457656,-0.794021925,1.656178428
E07000136,Boston,2.608422843,9.654542824,-9.357720979,16.38869543
E07000137,East Lindsey,-3.465095354,5.397512736,8.004665013,0.863542455
E07000138,Lincoln,4.938321832,2.747198205,-4.07545222,2.105546894
E07000139,North Kesteven,0.170667104,8.52563093,7.092929661,1.251986291
E07000140,South Holland,-0.569835276,9.588155519,3.639063484,6.500881139
E07000141,South Kesteven,1.119507759,7.716875183,5.19676464,1.381065454
E07000142,West Lindsey,-0.119437333,6.403203146,6.057393532,0.475524774
E07000143,Breckland,-0.154884731,7.108754307,4.831245156,2.42630926
E07000144,Broadland,-1.99536746,4.847336076,6.277826653,0.560322092
E07000145,Great Yarmouth,0.199638404,5.174236625,1.77322887,3.207867832
E07000146,King's Lynn and West Norfolk,0.17469749,5.927110637,3.870325805,1.873076081
E07000147,North Norfolk,-4.650570674,5.227928256,7.739953437,2.133256962
E07000148,Norwich,7.455792411,7.858137366,-7.013166298,7.512280167
E07000149,South Norfolk,0.64760377,12.37098111,11.38189336,0.329051237
E07000150,Corby,6.806084498,15.47320911,5.565869564,3.0583642
E07000151,Daventry,1.063585826,5.690313414,4.363127768,0.256111025
E07000152,East Northamptonshire,1.085591414,5.52501184,5.076070726,-0.641185302
E07000153,Kettering,4.190653916,9.409123902,4.767246134,0.422613871
E07000154,Northampton,7.62015773,10.60825258,-2.400020049,5.387924549
E07000155,South Northamptonshire,1.620679695,5.999887472,4.779763264,-0.415578553
E07000156,Wellingborough,4.87227426,5.881546584,-0.160524577,1.147516955
E07000163,Craven,-2.939437835,2.062108799,5.196113557,-0.199373668
E07000164,Hambleton,-0.42443575,1.972620368,2.208533401,0.176781614
E07000165,Harrogate,-0.051692066,2.93851852,4.784164764,-1.789243925
E07000166,Richmondshire,1.121423482,1.245125828,-0.26091633,0.508634207
E07000167,Ryedale,-2.453620693,2.462434065,4.385782542,0.529887527
E07000168,Scarborough,-2.283771687,0.594407419,2.043598199,0.862164417
E07000169,Selby,2.399730401,8.713658204,5.167183525,1.115824205
E07000170,Ashfield,2.829714364,6.351275152,2.838868494,0.673520198
E07000171,Bassetlaw,0.578160156,3.927813819,2.028281532,1.313802935
E07000172,Broxtowe,2.276519362,6.834225434,0.91127824,3.629765134
E07000173,Gedling,1.636399817,5.980644877,4.120867013,0.202733203
E07000174,Mansfield,3.008533988,3.192991551,-1.090519987,1.250198257
E07000175,Newark and Sherwood,0.735229502,5.883536833,4.279966084,0.874762366
E07000176,Rushcliffe,0.736162658,7.221831186,5.613322862,0.893105514
E07000177,Cherwell,5.150244144,6.460971408,-0.180523255,1.445471819
E07000178,Oxford,7.890903589,4.306955327,-12.78572875,9.51190624
E07000179,South Oxfordshire,2.808431343,5.108187198,2.862680117,-0.589813869
E07000180,Vale of White Horse,3.391876911,6.247956789,1.447472553,1.381431681
E07000181,West Oxfordshire,2.749753461,8.437337655,5.53689621,0.108663811
E07000187,Mendip,0.802751478,5.734568442,4.902913152,0.043927056
E07000188,Sedgemoor,1.066667191,8.221250984,5.765232574,1.393136622
E07000189,South Somerset,0.619010694,5.47413372,4.423932253,0.430012724
E07000190,Taunton Deane,0.38566091,7.056680503,5.95451737,0.70733873
E07000191,West Somerset,-4.835776288,2.590556285,6.791710437,0.65884784
E07000192,Cannock Chase,2.563269834,3.456878203,0.521180529,0.357855298
E07000193,East Staffordshire,3.72021232,6.674156455,1.02003782,1.907481557
E07000194,Lichfield,-0.87960093,5.148899031,5.254729589,0.757006543
E07000195,Newcastle-under-Lyme,0.371691313,2.28531868,-0.348218095,2.35496732
E07000196,South Staffordshire,-2.322453895,1.938807722,4.023206058,0.239333644
E07000197,Stafford,0.345747828,3.907491916,2.866573458,0.727899766
E07000198,Staffordshire Moorlands,-1.821813367,1.555911533,3.146790206,0.226534123
E07000199,Tamworth,4.800188111,4.176815846,-1.248153307,0.612808684
E07000200,Babergh,-2.197704167,2.831140895,6.399063549,-1.371166722
E07000201,Forest Heath,7.908650724,15.23879358,9.870821062,-2.571162177
E07000202,Ipswich,6.89477598,7.555376923,1.21613722,-0.58892013
E07000203,Mid Suffolk,0.032147657,5.846979407,6.768883294,-0.957304915
E07000204,St Edmundsbury,2.058751022,4.579008114,4.217530606,-1.721720015
E07000205,Suffolk Coastal,-3.113942988,3.642572692,7.515504889,-0.758267719
E07000206,Waveney,-1.320957643,2.489970964,3.870689651,-0.056826589
E07000207,Elmbridge,4.955405934,5.297577098,7.258118088,-6.963303317
E07000208,Epsom and Ewell,5.174297389,11.61992455,4.79769383,1.642490389
E07000209,Guildford,4.929693639,9.120593508,-4.586429277,8.884153495
E07000210,Mole Valley,0.240572124,6.271364236,8.224211595,-2.221493086
E07000211,Reigate and Banstead,4.753465001,13.77783194,7.930227438,1.031220465
E07000212,Runnymede,4.071827325,10.40866975,0.070734999,6.39154258
E07000213,Spelthorne,3.734327111,9.495772692,4.493942008,1.217370563
E07000214,Surrey Heath,2.256732038,4.022169706,2.613128267,-0.8897125
E07000215,Tandridge,1.457577239,8.795812285,7.170717717,0.134776865
E07000216,Waverley,1.125965211,7.144077779,5.723979529,0.313355164
E07000217,Woking,6.433928118,6.776820568,2.489819654,-2.228976676
E07000218,North Warwickshire,0.23474594,3.267665112,2.671461035,0.353571042
E07000219,Nuneaton and Bedworth,3.678505669,5.696100237,1.813938242,0.181388165
E07000220,Rugby,3.483578661,8.716376129,3.873789657,1.323040159
E07000221,Stratford-on-Avon,-1.444701034,4.898631749,5.309249847,1.013000183
E07000222,Warwick,3.365217911,5.693621496,1.921642418,0.419395695
E07000223,Adur,-0.341016459,6.809540002,7.200853468,-0.063888985
E07000224,Arun,-3.126205597,8.418004321,9.306099942,2.250792757
E07000225,Chichester,-1.968759476,7.754061562,8.565465738,1.209477855
E07000226,Crawley,8.279193767,10.90416369,-2.369741658,4.920238558
E07000227,Horsham,0.509656352,6.755744543,5.311084924,0.921289721
E07000228,Mid Sussex,1.582511175,7.224825289,4.813582044,0.803010251
E07000229,Worthing,-0.250944555,8.7012254,9.155118113,-0.230343997
E07000234,Bromsgrove,-1.767008968,5.132511707,6.894168396,-0.00617995
E07000235,Malvern Hills,-4.388787559,3.843692074,8.182572017,0.054412009
E07000236,Redditch,5.361810224,2.982293567,-3.828423622,1.418603733
E07000237,Worcester,5.795111429,5.038976503,-2.145793648,1.413191989
E07000238,Wychavon,-0.464171508,3.662024732,2.688564133,1.425921644
E07000239,Wyre Forest,-0.061534951,1.777706487,1.685186607,0.142754151
E07000240,St Albans,6.915114333,10.59223644,4.39486958,-0.798435431
E07000241,Welwyn Hatfield,4.999717978,10.86784117,-2.161084679,8.209919294
E07000242,East Hertfordshire,4.492636811,10.35793409,4.554768561,1.253209471
E07000243,Stevenage,6.680139016,8.367216167,1.215097135,0.438681848
E08000001,Bolton,5.236343116,5.952312471,-1.033786381,1.760685937
E08000002,Bury,4.32876928,5.344805104,-0.10885904,1.101679729
E08000003,Manchester,9.706924642,6.888853111,-8.142782265,5.412905092
E08000004,Oldham,5.767508086,4.073076645,-4.261796126,2.571423033
E08000005,Rochdale,5.337244958,2.36323879,-3.664440381,0.686294
E08000006,Salford,6.898202366,10.21240384,-1.43219552,4.72253256
E08000007,Stockport,2.908295646,4.719015247,1.741528687,0.038778437
E08000008,Tameside,4.096905794,6.037932108,1.408205033,0.513975479
E08000009,Trafford,4.582211177,7.028995809,2.133311129,0.272452311
E08000010,Wigan,3.086915703,5.507620604,0.553764862,1.845724
E08000011,Knowsley,3.727249841,0.664290096,-3.115927439,0.06712819
E08000012,Liverpool,4.005609879,1.595774371,-5.22212264,2.881791636
E08000013,St. Helens,2.186538098,4.004149454,1.458329647,0.343716172
E08000014,Sefton,-0.869138599,0.883817499,1.078619347,0.669061102
E08000015,Wirral,1.009279032,1.74239962,1.116667096,-0.391423803
E08000016,Barnsley,2.728836296,6.273491563,2.539625713,0.992679769
E08000017,Doncaster,2.789641869,2.114377513,-1.7952643,1.095567951
E08000018,Rotherham,2.507539063,3.518932097,-0.473415313,1.479054709
E08000019,Sheffield,4.475578052,5.387075157,-5.025804514,6.080537116
E08000021,Newcastle upon Tyne,4.147583022,2.805271375,-10.25979642,9.120009711
E08000022,North Tyneside,1.818613372,5.938059668,3.566902828,0.517131716
E08000023,South Tyneside,0.636356052,2.568750248,-0.12021427,2.043160083
E08000024,Sunderland,1.248154865,0.824324195,-3.087385799,2.681492356
E08000025,Birmingham,9.51782763,7.248015664,-6.318820483,4.120663161
E08000026,Coventry,8.440174341,13.00762707,-8.043499853,12.7203064
E08000027,Dudley,2.488607723,2.712850521,-0.498963619,0.715513901
E08000028,Sandwell,7.511237663,9.07326514,-3.174184023,4.727669985
E08000029,Solihull,2.342230864,5.460919751,3.291688816,-0.178822622
E08000030,Walsall,5.054965551,5.050650446,-1.439610449,1.439966425
E08000031,Wolverhampton,5.162482457,3.362635529,-5.122633504,3.319714746
E08000032,Bradford,7.995312263,6.30110909,-5.772504044,4.101030155
E08000033,Calderdale,3.965779981,6.457766725,1.898919489,0.576596617
E08000034,Kirklees,5.396835371,6.576332332,-1.223177287,2.427022795
E08000035,Leeds,5.733745019,6.827042204,-1.878019585,3.07528498
E08000036,Wakefield,2.891475806,5.110555752,-0.195401033,2.391095399
E08000037,Gateshead,1.714194256,2.696915098,0.34986181,0.611090641
E09000001,City of London,5.71867264,24.40178644,-10.71605034,29.09086453
E09000002,Barking and Dagenham,14.88644167,20.30897989,-4.878949149,10.29263576
E09000003,Barnet,9.224756556,16.02640348,-2.81031185,9.526017792
E09000004,Bexley,6.141401629,9.959290944,0.889475743,2.930690026
E09000005,Brent,11.41400204,8.491179165,-16.79366238,13.77956681
E09000006,Bromley,5.846427864,11.44212575,3.904992853,1.636470928
E09000007,Camden,9.467930532,12.5348312,-12.66997096,15.67763424
E09000008,Croydon,9.009796209,11.35980972,-2.390473651,4.699826629
E09000009,Ealing,10.98682599,10.21254718,-8.526039079,7.638332675
E09000010,Enfield,10.48783584,14.78438657,-3.847847126,8.109411505
E09000011,Greenwich,12.38963205,11.63119933,-9.782895313,8.966022275
E09000012,Hackney,15.46778799,13.56297053,-6.61270383,4.510229401
E09000013,Hammersmith and Fulham,9.611673561,2.401212433,0.820420976,-8.215179689
E09000014,Haringey,12.66922274,13.04740338,-14.42028692,14.64520237
E09000015,Harrow,8.690717154,11.84350469,-5.4787529,8.556479697
E09000016,Havering,3.849000397,11.46560321,6.025173782,1.576262879
E09000017,Hillingdon,10.1987429,15.57300462,-3.913926948,9.312124156
E09000018,Hounslow,12.33796634,15.44472715,-10.85932494,13.84903217
E09000019,Islington,10.86535776,16.7347911,-9.485440458,15.15686807
E09000020,Kensington and Chelsea,7.380403974,1.09613256,-1.304526276,-5.079526341
E09000021,Kingston upon Thames,8.680473126,16.07137052,-4.503107927,11.90963654
E09000022,Lambeth,12.63181555,10.99902143,-8.264071668,6.373177786
E09000023,Lewisham,13.1463402,14.39339389,-6.260438368,7.389066341
E09000024,Merton,12.15159702,13.18966678,-4.125113281,5.021841687
E09000025,Newham,17.92555628,15.82786322,-33.49888884,31.31353677
E09000026,Redbridge,11.98406677,18.60269565,-2.041065619,8.58657044
E09000027,Richmond upon Thames,9.62557903,12.89178644,3.871797015,-0.689086878
E09000028,Southwark,14.26543391,13.57714671,-13.24236205,12.40749737
E09000029,Sutton,7.420274805,14.22200476,5.124452601,1.613602335
E09000030,Tower Hamlets,15.9471828,22.08728894,-10.40629474,16.3487671
E09000031,Waltham Forest,13.26473117,12.35730892,-12.47377375,11.47690627
E09000032,Wandsworth,14.35359349,9.425288408,-1.737600185,-3.43689999
E09000033,Westminster,8.79061493,11.50346214,-8.608878225,11.2150035
